threadID,sectionID,event,val,ts,ticket
id_139848252876608,MUTEX_BQ_MONITOR,WAIT,0,1571330464426752241,1
id_139848252876608,firstR,BEGIN_FUNC_PROC,0,1571330464426848708,2
id_139848252876608,MUTEX_BQ_MONITOR,SIGNAL,1,1571330464426890858,3
id_139848252876608,MUTEX_BQ_MONITOR,WAIT,0,1571330464427022566,4
id_139848252876608,enqueue,BEGIN_FUNC_PROC,0,1571330464427055750,5
id_139848252876608,enqueue,END_FUNC_PROC,1,1571330464427078458,6
id_139848252876608,NO_INFO,SIGNAL,1,1571330464427121543,7
id_139848252876608,NO_INFO,WAIT,0,1571330464427186074,8
id_139848252876608,firstR,END_FUNC_PROC,0,1571330464427210885,9
id_139848252876608,MUTEX_BQ_MONITOR,SIGNAL,1,1571330464427265393,10
id_139848252876608,MUTEX_BQ_MONITOR,WAIT,0,1571330464427400950,11
id_139848252876608,enqueue,BEGIN_FUNC_PROC,0,1571330464427480618,12
id_139848252876608,enqueue,END_FUNC_PROC,1,1571330464427507874,13
id_139848252876608,MUTEX_BQ_MONITOR,SIGNAL,1,1571330464427534768,14
id_139848252876608,MUTEX_BQ_MONITOR,WAIT,0,1571330464427642885,15
id_139848252876608,firstR,BEGIN_FUNC_PROC,1,1571330464427740258,16
id_139848252876608,firstR,END_FUNC_PROC,0,1571330464427764883,17
id_139848252876608,MUTEX_BQ_MONITOR,SIGNAL,1,1571330464427882777,18
id_139848252876608,MUTEX_BQ_MONITOR,WAIT,0,1571330464428020187,19
id_139848252876608,firstR,BEGIN_FUNC_PROC,0,1571330464428088427,20
id_139848252876608,MUTEX_BQ_MONITOR,SIGNAL,1,1571330464428116385,21
id_139848252876608,MUTEX_BQ_MONITOR,WAIT,0,1571330464428765657,22
id_139848252876608,firstR,BEGIN_FUNC_PROC,0,1571330464428832244,23
id_139848252876608,MUTEX_BQ_MONITOR,SIGNAL,1,1571330464428942959,24
id_139848252876608,MUTEX_BQ_MONITOR,WAIT,0,1571330464429100601,25
id_139848252876608,firstR,BEGIN_FUNC_PROC,0,1571330464429160917,26
id_139848252876608,MUTEX_BQ_MONITOR,SIGNAL,1,1571330464429190328,27
id_139848252876608,MUTEX_BQ_MONITOR,WAIT,0,1571330464429278574,28
id_139848252876608,enqueue,BEGIN_FUNC_PROC,0,1571330464429321418,29
